"Nitrogen","Variety","Yield"
0,"Russet Burbank",397.677309462883
90,"Russet Burbank",504.182166211104
150,"Russet Burbank",501.218569379498
210,"Russet Burbank",594.76404010689
270,"Russet Burbank",607.475388590768
0,"Alpine Russet",296.976580794099
90,"Alpine Russet",453.371452621424
150,"Alpine Russet",509.916235256461
210,"Alpine Russet",455.789067582675
270,"Alpine Russet",368.730580642182
0,"Russet Burbank",504.589058422542
90,"Russet Burbank",514.492161820572
150,"Russet Burbank",511.93797097291
210,"Russet Burbank",404.265005641125
270,"Russet Burbank",647.246545907155
0,"Alpine Russet",335.753319549238
90,"Alpine Russet",428.190486845053
150,"Alpine Russet",520.191810534265
210,"Alpine Russet",468.061059754904
270,"Alpine Russet",413.695066060875
0,"Russet Burbank",474.948868580411
90,"Russet Burbank",534.106815036553
150,"Russet Burbank",546.728249168259
210,"Russet Burbank",415.532415206831
270,"Russet Burbank",621.991287394736
0,"Alpine Russet",335.19356302355
90,"Alpine Russet",421.210224664734
150,"Alpine Russet",399.462380805036
210,"Alpine Russet",403.092497244569
270,"Alpine Russet",404.897078009985
0,"Russet Burbank",496.933977576452
90,"Russet Burbank",489.86061363285
150,"Russet Burbank",562.383580577968
210,"Russet Burbank",512.309747970855
270,"Russet Burbank",522.14702215857
0,"Alpine Russet",317.250271835016
90,"Alpine Russet",409.285502314483
150,"Alpine Russet",470.034330164441
210,"Alpine Russet",482.001268599194
270,"Alpine Russet",422.158787422877
0,"Russet Burbank",420.773820187321
90,"Russet Burbank",482.331915993175
150,"Russet Burbank",577.848168770237
210,"Russet Burbank",542.833159933683
270,"Russet Burbank",556.562215272524
0,"Alpine Russet",302.625242151894
90,"Alpine Russet",447.229098106841
150,"Alpine Russet",511.426646225771
210,"Alpine Russet",421.382689392489
270,"Alpine Russet",428.055386322711
0,"Russet Burbank",448.905294018353
90,"Russet Burbank",464.398680337461
150,"Russet Burbank",560.055984571221
210,"Russet Burbank",458.53184519596
270,"Russet Burbank",662.651185085052
0,"Alpine Russet",437.019994925293
90,"Alpine Russet",410.638926176675
150,"Alpine Russet",420.793268684173
210,"Alpine Russet",455.485981372121
270,"Alpine Russet",377.247269805959
0,"Russet Burbank",549.080888025239
90,"Russet Burbank",493.037999863342
150,"Russet Burbank",577.486968122539
210,"Russet Burbank",516.400107939033
270,"Russet Burbank",553.83633955588
0,"Alpine Russet",347.439614975717
90,"Alpine Russet",338.752068555448
150,"Alpine Russet",546.277743078144
210,"Alpine Russet",434.662666910595
270,"Alpine Russet",492.630583518108
0,"Russet Burbank",452.775476444983
90,"Russet Burbank",459.502678453909
150,"Russet Burbank",573.536317674453
210,"Russet Burbank",468.295118417787
270,"Russet Burbank",528.318329988045
0,"Alpine Russet",352.572311775873
90,"Alpine Russet",406.835406339078
150,"Alpine Russet",473.055267581581
210,"Alpine Russet",430.717066207583
270,"Alpine Russet",354.523952690596
0,"Russet Burbank",400.566563359075
90,"Russet Burbank",488.241069243808
150,"Russet Burbank",601.90434982866
210,"Russet Burbank",438.821659978512
270,"Russet Burbank",620.697309381421
0,"Alpine Russet",354.647518560676
90,"Alpine Russet",482.154991863818
150,"Alpine Russet",457.790803818285
210,"Alpine Russet",445.500940495814
270,"Alpine Russet",397.354939538612
0,"Russet Burbank",401.873998450418
90,"Russet Burbank",555.393390299159
150,"Russet Burbank",601.020130784748
210,"Russet Burbank",550.01068247575
270,"Russet Burbank",670.341672727042
0,"Alpine Russet",365.924321278265
90,"Alpine Russet",365.170389577098
150,"Alpine Russet",444.336729288156
210,"Alpine Russet",365.769369255082
270,"Alpine Russet",360.329968178034
